Traits	Trait_ID	Cart	QTL	chr	start_cM	end_cM	peak_cM	start_bp	end_bp
Clum length	3	FR	CL3_2	chr3	143.3	154.96	153.28	34084828	36122477
Clum length	3	FR	CL6	chr6	37.91	39.94	39.32	8408443	9434866
Clum length	3	FR	CL7_1	chr7	43.26	44.78	43.88	13247218	14733853
Clum length	3	FR	CL7_2	chr7	64.24	72.28	68.51	21772222	24291369
Clum length	3	FR	CL7_3	chr7	92.84	93.57	92.93	28529049	28706503
Clum length	3	FR	CL7_4	chr7	96.52	99.1	98.22	29056624	29697621
Clum length	3	FR	CL8	chr8	8.28	15.93	11.1	956581	2276618
Clum length	3	FR	CL9	chr9	61.85	66.77	65.63	21229317	22083231
Clum length	3	FR	CL11	chr11	38.15	45.29	44.54	7963677	16862595
Flag leaf Angle	4	FR	FLA1_1	chr1	0.34	2.97	1.66	426193	1118379
Flag leaf Angle	4	FR	FLA1_2	chr1	17.67	26.75	20.97	4252470	6330721
Flag leaf length	5	FR	FLL7	chr7	96.25	99.1	98.84	29036967	29697621
Flag leaf length	5	FR	FLL10	chr10	22.89	27.13	23.74	13051760	14588885
Flag leaf width	6	FR	FLW1_1	chr1	18.97	20.97	20.1	4615391	5037986
Flag leaf width	6	FR	FLW1_2	chr1	46.06	53.98	48.7	9929166	12124600
Flag leaf width	6	FR	FLW2_1	chr2	23.94	28.57	27.56	4851357	5413767
Flag leaf width	6	FR	FLW2_2	chr2	65.19	68.61	65.95	18419386	18849279
Flag leaf width	6	FR	FLW3	chr3	136.72	141.19	138.56	32608348	33552547
Flag leaf width	6	FR	FLW4	chr4	22.4	28.47	23.85	12348590	16213217
Flag leaf width	6	FR	FLW5_1	chr5	21.6	34.41	33.6	3380027	7284842
Flag leaf width	6	FR	FLW5_2	chr5	81.58	85.61	84.25	25103454	25721282
Flag leaf width	6	FR	FLW6	chr6	93.69	96.02	94.35	27814685	28036548
Flag leaf width	6	FR	FLW7	chr7	84.52	90.81	89.16	26383176	28299815
Flag leaf width	6	FR	FLW9	chr9	28.24	31.11	29.94	13848663	14589410
Grain length	7	FR	GL1_1	chr1	18.97	24.17	22.09	4615391	5584245
Grain length	7	FR	GL1_2	chr1	91.2	98.96	94.81	24509481	26472362
Grain length	7	FR	GL1_3	chr1	117.29	131.89	120.49	34747623	39219404
Grain length	7	FR	GL1_4	chr1	160.2	162.83	162.83	42769967	43270923
Grain length	7	FR	GL2_1	chr2	3.23	11.65	9.92	1066443	2781818
Grain length	7	FR	GL2_2	chr2	110.75	113.51	111.68	27429287	28687735
Grain length	7	FR	GL3_1	chr3	68.39	70.57	69.4	14591399	15139647
Grain length	7	FR	GL3_2	chr3	95.39	100.82	97.88	24565997	25587110
Grain length	7	FR	GL6	chr6	45.8	96.75	92.12	12121690	28103337
Grain length	7	FR	GL8	chr8	89.71	93	92.04	26474260	27061464
Grain length	7	FR	GL9_1	chr9	32.09	44.55	34.57	14732807	18093335
Grain length	7	FR	GL9_2	chr9	60.74	68.32	64.75	21143202	23012720
Grain weight	8	FR	GW3	chr3	18.22	26.77	20	3416397	4372545
Grain weight	8	FR	GW9	chr9	51.51	68.32	68	19298465	23012720
Grain width	9	FR	GWI1	chr1	18.28	21.58	20.97	4449855	5172629
Grain width	9	FR	GWI3	chr3	78.82	87.53	79.9	16363332	22738389
Grain width	9	FR	GWI4_1	chr4	36.09	44	37.45	18453416	19499077
Grain width	9	FR	GWI4_2	chr4	85.77	88.42	86.54	29990401	30564300
Grain width	9	FR	GWI5	chr5	93.98	101.78	101.78	27617133	29958434
Grain width	9	FR	GWI6_1	chr6	6.32	12.23	9.08	1689384	2380717
Grain width	9	FR	GWI6_2	chr6	75.46	83.2	79.03	24537348	26085967
Grain width	9	FR	GWI10	chr10	46.63	54.93	50.4	18418179	20223907
Grain width	9	FR	GWI11	chr11	91.98	94.78	94.14	27515426	29021106
Grain width	9	FR	GWI12	chr12	77.43	83.13	78.42	25329070	27531856
Pancile length	10	FR	PL2_1	chr2	59.12	66.8	60.8	16008508	18661142
Pancile length	10	FR	PL2_2	chr2	103.62	106.27	105.19	25609108	26291292
Pancile length	10	FR	PL3_1	chr3	27.59	49.54	42.49	4539137	10417495
Pancile length	10	FR	PL3_2	chr3	144.59	154.96	148.57	34430692	36122477
Pancile length	10	FR	PL4	chr4	77.33	81.76	80.56	27145175	28535720
Pancile length	10	FR	PL5	chr5	67.64	72.47	70.21	22079771	23347996
Pancile length	10	FR	PL6	chr6	38.53	40.3	39.32	8739763	9605467
Pancile length	10	FR	PL7_1	chr7	13.25	17.19	14.74	2658724	2981898
Pancile length	10	FR	PL7_2	chr7	96.34	99.1	99.1	29046163	29697621
Pancile length	10	FR	PL8_1	chr8	9.03	23.29	21.2	1038985	3458883
Pancile length	10	FR	PL8_2	chr8	69.41	77.04	73.63	22227487	24236338
Pancile length	10	FR	PL9	chr9	59.37	62.19	61.16	20849981	21366221
Pancile length	10	FR	PL11	chr11	43.12	47.24	45.29	15364574	17721384
Pancile length	10	FR	PL12	chr12	13.84	34.03	33.03	2667924	7544885
Panicle shape	11	FR	PS3	chr3	117.63	134.29	121.97	29024933	32346618
Panicle shape	11	FR	PS6	chr6	0	6.14	2.8	0	1689384
Panicle shape	11	FR	PS9	chr9	38.42	55.37	40.36	16015262	20259737
Spiklets number	12	FR	SN1	chr1	102.41	126.52	124.54	27687962	38651369
Spiklets number	12	FR	SN3	chr3	48.79	80.44	51.18	10153174	16863274
Spiklets number	12	FR	SN5	chr5	20.03	43.95	22.73	3195361	16696917
Spiklets number	12	FR	SN6_1	chr6	16.37	26.45	22.1	3245405	5848741
Spiklets number	12	FR	SN6_2	chr6	87.55	91.3	88.45	26744485	27451086
Perennating ability first	1	LH	FLH1_1	chr1	15.89	20.97	20.1	3907806	5037986
Perennating ability first	1	LH	FLH1_2	chr1	93.45	108.29	104.46	25005593	30067405
Perennating ability first	1	LH	FLH3_1	chr3	57.06	67.22	65.61	12580403	14503253
Perennating ability first	1	LH	FLH3_2	chr3	110.17	121.71	114.28	27254031	29576433
Perennating ability first	1	LH	FLH4	chr4	13.5	14.88	13.86	4456861	4794664
Perennating ability first	1	LH	FLH6	chr6	17.95	24.21	19.69	3952890	5565003
Perennating ability first	1	LH	FLH9	chr9	56	59.37	58.94	20342561	20905158
Perennating ability second	2	LH	SLH1	chr1	23.57	30.54	29.68	5456152	6827889
Perennating ability second	2	LH	SLH4	chr4	12.4	14.61	14.33	3538495	4733102
Perennating ability second	2	LH	SLH6_1	chr6	0	2.53	1.36	0	706730
Perennating ability second	2	LH	SLH6_2	chr6	35.4	55.06	38.88	7513291	17723946
Perennating ability second	2	LH	SLH6_3	chr6	100.73	105.2	102.92	28919014	29671228
Perennating ability second	2	LH	SLH9	chr9	51.78	54.37	52.49	19333249	20098309
Perennating ability second	2	LH	SLH12	chr12	14.84	22.59	17.36	2758258	3693952
Perennating ability third	3	LH	TLH4	chr4	9.73	20.41	19.23	1978093	7005946
Awn Colour	1	CR	AWC4	chr4	79.54	80.56	80.22	27788764	28087386
Awn Colour	1	CR	AWC6	chr6	22.1	32.56	31.31	5099936	6956613
Basal Leaf Sheath Colour	2	CR	BLS1	chr1	72.45	80.12	77.93	21062305	22882822
Ligule Colour	3	CR	LC1	chr1	76.87	77.64	77.45	22018818	22350787
Ligule Colour	3	CR	LC5	chr5	85.43	94.17	87.33	25695339	27843523
Stigma Colour	4	CR	SC1	chr1	93.45	104.72	100.96	25005593	28698968
Stigma Colour	4	CR	SC4	chr4	80.22	80.64	80.39	27899616	28150323
Stigma Colour	4	CR	SC6	chr6	20.29	24.21	23.19	4697943	5565003
Stigma Colour	4	CR	SC10	chr10	51.87	55.12	54.19	19612522	20313512
